customerID,date,amount,employerID
b212a7d7-92e5-43b5-bf77-5ca48240df19,2015-12-07,1436,e54fe3fb-10a5-4c6b-99f2-e6d3bf104f79
b212a7d7-92e5-43b5-bf77-5ca48240df19,2015-12-21,60,e54fe3fb-10a5-4c6b-99f2-e6d3bf104f79
1de287d4-f3c2-4206-bde4-60bbf7b1e24e,2015-11-09,473,dba2fbc6-f554-4654-9a36-59fa02456c0d
14a73316-49f5-443d-89e7-630951cf0853,2015-12-28,223,58565e24-ce6c-4da5-b14e-e6c5c5cd9e12
14a73316-49f5-443d-89e7-630951cf0853,2016-01-11,687,58565e24-ce6c-4da5-b14e-e6c5c5cd9e12
14a73316-49f5-443d-89e7-630951cf0853,2016-01-18,141,58565e24-ce6c-4da5-b14e-e6c5c5cd9e12
14a73316-49f5-443d-89e7-630951cf0853,2016-01-25,340,58565e24-ce6c-4da5-b14e-e6c5c5cd9e12
14a73316-49f5-443d-89e7-630951cf0853,2016-02-01,407,58565e24-ce6c-4da5-b14e-e6c5c5cd9e12
14a73316-49f5-443d-89e7-630951cf0853,2016-02-15,407,58565e24-ce6c-4da5-b14e-e6c5c5cd9e12
14a73316-49f5-443d-89e7-630951cf0853,2016-02-22,332,58565e24-ce6c-4da5-b14e-e6c5c5cd9e12
14a73316-49f5-443d-89e7-630951cf0853,2016-02-29,627,58565e24-ce6c-4da5-b14e-e6c5c5cd9e12
14a73316-49f5-443d-89e7-630951cf0853,2016-03-07,407,58565e24-ce6c-4da5-b14e-e6c5c5cd9e12
14a73316-49f5-443d-89e7-630951cf0853,2016-03-14,407,58565e24-ce6c-4da5-b14e-e6c5c5cd9e12
14a73316-49f5-443d-89e7-630951cf0853,2016-03-21,407,58565e24-ce6c-4da5-b14e-e6c5c5cd9e12
14a73316-49f5-443d-89e7-630951cf0853,2016-03-28,407,58565e24-ce6c-4da5-b14e-e6c5c5cd9e12
14a73316-49f5-443d-89e7-630951cf0853,2016-04-04,407,58565e24-ce6c-4da5-b14e-e6c5c5cd9e12
14a73316-49f5-443d-89e7-630951cf0853,2016-04-11,295,58565e24-ce6c-4da5-b14e-e6c5c5cd9e12
14a73316-49f5-443d-89e7-630951cf0853,2016-04-18,407,58565e24-ce6c-4da5-b14e-e6c5c5cd9e12
14a73316-49f5-443d-89e7-630951cf0853,2016-04-25,203,58565e24-ce6c-4da5-b14e-e6c5c5cd9e12
14a73316-49f5-443d-89e7-630951cf0853,2016-05-16,299,58565e24-ce6c-4da5-b14e-e6c5c5cd9e12
